org_name,recipient_id,grant_year,state,service_area__c,service_area_type__c,Attorney_Fee_Awards_LSC,Basic_Field_LSC,Carryover_Funds_LSC,Interest_Investment__Other_Income_LSC,Interest_Investment_Income_LSC,Publication_Income_LSC,Other_Grants_i.e._TIG_Disaster_LSC,Other_Funds_LSC,Attorney_Fee_Awards_NonLSC,Bar_Association_Grants_NonLSC,Carryover_Funds_NonLSC,Community_Development_Block_Grants_NonLSC,Corporate_and_Individual_Contributions_NonLSC,Cy_Pres_Awards_NonLSC,Filing_and_Other_Fees_NonLSC,Filing_Fees_NonLSC,Foundation_Grants_NonLSC,General_State_Grants_NonLSC,HHS_Grants_NonLSC,HUD_Grants_NonLSC,IOLTA_Grants_NonLSC,Local_Grants_NonLSC,Older_Americans_Act_NonLSC,Other_Federal_Grants_NonLSC,Private_Foundation_Grants_NonLSC,Publication_Income_NonLSC,Specific_State_Grants_and_Contracts_NonLSC,State_Grants_NonLSC,Title_XX_of_Social_Security_Act_NonLSC,United_Way_Grants_NonLSC,Violence_Against_Women_Act_NonLSC,Other_Funds_NonLSC,Gross_Fees_and_Receipts_from_Client_Services_Client_Service_Income,Other_Income_Earned_in_ForProfit_Activities_Client_Service_Income,Total_Client_Service_Income,Total_LSC_Funds,Total_NonLSC_Funds,Total_LSC_NonLSC_Funds
Kentucky Legal Aid,618036,2017,KY,KY-9,Basic Field,500,1118558,109300,20490,NA,0,24706,NA,37364,2000,766723,NA,0,7546,608579,NA,NA,113732,0,32651,87009,0,202972,1080,85000,0,91104,NA,NA,233593,578720,54215,0,0,0,1273554,2902288,4175842
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2008,IL,IL-6,Basic Field,1240,6260443,0,NA,7123,0,NA,37946,0,0,0,136996,NA,NA,NA,NA,2479681,NA,NA,NA,1047909,539315,731594,37613,NA,0,NA,1371165,0,243632,171595,1679441,0,0,0,6306752,8438941,14745693
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2009,IL,IL-6,Basic Field,5168,6889708,0,NA,2501,0,NA,16560,0,0,0,154568,NA,NA,NA,NA,804757,NA,NA,NA,666356,645259,740741,84020,NA,0,NA,903222,0,172842,195924,1803713,0,0,0,6913937,6171402,13085339
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2010,IL,IL-6,Basic Field,15909,7439083,0,NA,2889,0,NA,22164,25427,0,0,325002,NA,NA,NA,0,1142147,NA,NA,NA,612500,798490,792285,137341,NA,0,NA,776167,0,280140,207960,2379082,0,0,0,7480045,7476541,14956586
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2011,IL,IL-6,Basic Field,95106,7131567,0,NA,3243,0,NA,51434,0,0,0,172327,NA,NA,NA,895084,895209,NA,NA,NA,597500,13500,745751,322348,NA,0,NA,496454,0,219983,190645,2668813,0,0,0,7281350,7217614,14498964
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2012,IL,IL-6,Basic Field,113823,6086096,0,NA,10554,0,NA,24196,0,0,0,NA,1221913,923118,0,NA,NA,0,0,151466,640000,786488,800578,27464,908089,0,5206240,NA,NA,219958,201093,356753,0,0,0,6234669,11443160,17677829
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2013,IL,IL-6,Basic Field,291986,5775373,0,0,NA,0,4542,NA,0,0,0,NA,1375145,192741,0,NA,NA,0,0,168466,643000,727589,997229,483840,617931,0,549025,NA,NA,225000,0,611351,0,0,0,6071901,6591317,12663218
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2014,IL,IL-6,Basic Field,372323,5684155,0,78555,NA,0,22570,NA,0,0,0,NA,1358181,42399,0,NA,NA,0,0,154020,615000,908180,1013311,591180,869941,0,769182,NA,NA,225000,0,769955,0,0,0,6157603,7316349,13473952
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2015,IL,IL-6,Basic Field,124871,5804915,0,13661,NA,0,108642,NA,0,0,0,NA,1300324,99799,0,NA,NA,0,0,151466,931500,609033,940319,641970,949253,0,877529,NA,NA,184000,294363,197716,0,0,0,6052089,7177272,13229361
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2016,IL,IL-6,Basic Field,305213,5857995,0,4010,NA,0,187572,NA,0,0,0,NA,1689912,29212,0,NA,NA,0,0,152112,6.00E+05,705868,990253,664204,913547,0,634142,NA,NA,184000,275911,525566,0,0,0,6354790,7364727,13719517
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2017,IL,IL-6,Basic Field,336586,5866002,0,6047,NA,0,17914,NA,0,0,0,NA,1399171,424160,0,NA,NA,0,0,155466,1846000,641033,1248230,756974,891354,0,832942,NA,NA,127000,259119,912670,0,0,0,6226549,9494119,15720668
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2008,IL,MIL,Migrant Worker,0,241866,0,NA,276,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,4000,0,0,0,NA,0,NA,0,0,0,0,35433,0,0,0,242142,39433,281575
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2009,IL,MIL,Migrant Worker,0,266177,0,NA,97,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,33560,0,0,0,266274,33560,299834
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2010,IL,MIL,Migrant Worker,6427,287402,0,NA,112,0,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,293941,0,293941
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2011,IL,MIL,Migrant Worker,13279,275520,0,NA,125,0,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,951,0,0,0,288924,951,289875
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2012,IL,MIL,Migrant Worker,10241,235129,0,NA,408,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,20500,0,0,NA,NA,0,0,63606,0,0,0,245778,84106,329884
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2013,IL,MIL,Migrant Worker,25425,230305,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,7000,0,0,0,41000,0,0,NA,NA,0,0,71816,0,0,0,255730,119816,375546
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2014,IL,MIL,Migrant Worker,23583,244504,0,4494,NA,0,0,NA,0,0,0,NA,200,0,0,NA,NA,0,0,0,3500,0,0,0,20500,0,0,NA,NA,0,0,28147,0,0,0,272581,52347,324928
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2015,IL,MIL,Migrant Worker,6400,249699,0,0,NA,0,0,NA,0,0,0,NA,3026,0,0,NA,NA,0,0,0,3500,0,0,0,3000,0,0,NA,NA,0,0,53292,0,0,0,256099,62818,318917
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2016,IL,MIL,Migrant Worker,4200,256141,0,199,NA,0,0,NA,0,0,0,NA,10516,0,0,NA,NA,0,0,0,0,0,0,7197,0,0,0,NA,NA,0,0,32232,0,0,0,260540,49945,310485
LAF (Legal Assistance Foundation of Metropolitan Chicago),514020,2017,IL,MIL,Migrant Worker,0,252971,0,261,NA,0,0,NA,0,0,0,NA,300,0,0,NA,NA,0,0,0,0,0,0,2867,0,0,0,NA,NA,0,5837,-28149,0,0,0,253232,-19145,234087
Lakeshore Legal Aid,423090,2016,MI,MI-13,Basic Field,0,2888533,0,117,NA,0,0,NA,63,11195,0,NA,15204,0,420992,NA,NA,0,0,0,50066,249483,236493,0,52500,0,0,NA,NA,68500,202102,592284,0,0,0,2888650,1898882,4787532
Lakeshore Legal Aid,423090,2017,MI,MI-13,Basic Field,778,4196162,681055,333,NA,0,0,NA,592,0,693257,NA,86689,0,1987494,NA,NA,0,0,0,116504,295431,241491,0,127500,0,375000,NA,NA,123500,162737,532409,0,0,0,4878328,4742604,9620932
"Land of Lincoln Legal Aid, Inc.",514050,2008,IL,IL-3,Basic Field,0,2398320,204965,NA,36879,0,NA,37082,0,19685,0,0,NA,NA,NA,NA,110115,NA,NA,NA,1938546,55750,470428,333321,NA,0,NA,848811,0,398823,278552,589695,0,0,0,2677246,5043726,7720972
"Land of Lincoln Legal Aid, Inc.",514050,2009,IL,IL-3,Basic Field,0,2639386,137823,NA,28305,0,NA,4290,0,7785,0,0,NA,NA,NA,NA,134996,NA,NA,NA,2150253,79665,484995,235730,NA,0,NA,719632,0,398011,240685,326573,0,0,0,2809804,4778325,7588129
"Land of Lincoln Legal Aid, Inc.",514050,2010,IL,IL-3,Basic Field,2500,2849847,84179,NA,8358,0,NA,1367,0,9141,0,0,NA,NA,NA,88000,120373,NA,NA,NA,1590000,11501,495503,388347,NA,0,NA,471451,0,379464,255198,485492,0,0,0,2946251,4294470,7240721
"Land of Lincoln Legal Aid, Inc.",514050,2011,IL,IL-3,Basic Field,0,2732040,0,NA,6395,0,NA,3053,0,56757,2888221,0,NA,NA,NA,0,119993,NA,NA,NA,1581000,51969,499384,278822,NA,0,NA,531270,0,370062,256982,234189,0,0,0,2741488,6868649,9610137
"Land of Lincoln Legal Aid, Inc.",514050,2012,IL,IL-3,Basic Field,15958,2331529,11220,NA,3780,0,NA,36026,0,92024,3458529,NA,242594,305154,0,NA,NA,350754,0,0,1608992,32865,489345,51311,120438,0,689429,NA,NA,371388,564313,71352,0,0,0,2398513,8448488,10847001
"Land of Lincoln Legal Aid, Inc.",514050,2013,IL,IL-3,Basic Field,1300,2293785,0,3883,NA,0,4360,NA,0,27350,3338945,NA,142765,441036,665,NA,NA,0,0,0,1646970,42583,542621,318370,212764,0,1750352,NA,NA,373922,170250,27746,0,0,0,2303328,9036339,11339667
"Land of Lincoln Legal Aid, Inc.",514050,2014,IL,IL-3,Basic Field,150,2459258,0,14583,NA,0,27516,NA,0,21000,3171225,NA,179588,149660,0,NA,NA,0,0,0,1740187,24992,572876,309218,88270,0,1644636,NA,NA,388537,151073,37669,0,0,0,2501507,8478931,10980438
"Land of Lincoln Legal Aid, Inc.",514050,2015,IL,IL-3,Basic Field,17026,2511505,68589,25929,NA,0,37777,NA,0,22750,3348937,NA,686604,0,0,NA,NA,369500,0,16654,1732500,32694,492654,314668,116063,0,919151,NA,NA,375031,185416,2889,0,0,0,2660826,8615511,11276337
"Land of Lincoln Legal Aid, Inc.",514050,2016,IL,IL-3,Basic Field,0,2542893,0,14508,NA,0,22403,NA,0,21500,4928448,NA,1081102,67088,18623,NA,NA,437019,0,37822,1615833,29295,515030,320495,288433,0,451810,NA,NA,371600,22462,24325,0,0,0,2579804,10230885,12810689
"Land of Lincoln Legal Aid, Inc.",514050,2017,IL,IL-3,Basic Field,4500,2547340,0,29611,NA,0,82740,NA,0,21500,4909785,NA,323006,219383,11364,NA,NA,543168,0,16154,2407669,33289,406899,566122,269417,0,121513,NA,NA,331666,1181,32078,0,0,0,2664191,10214194,12878385
"Laurel Legal Services, Inc.",339026,2008,PA,PA-5,Basic Field,0,741483,183045,NA,0,0,NA,0,0,0,699343,0,NA,NA,NA,NA,0,NA,NA,NA,405770,0,24392,0,NA,0,NA,155487,269368,0,224747,727565,0,0,0,924528,2506672,3431200
"Laurel Legal Services, Inc.",339026,2009,PA,PA-5,Basic Field,0,813058,129597,NA,0,0,NA,0,0,0,342319,0,NA,NA,NA,NA,0,NA,NA,NA,158227,0,25000,0,NA,0,NA,166202,273875,0,87193,682018,0,0,0,942655,1734834,2677489
"Laurel Legal Services, Inc.",339026,2010,PA,PA-5,Basic Field,0,877890,0,NA,0,0,NA,0,0,0,518699,0,NA,NA,NA,0,0,NA,NA,NA,152647,0,25515,0,NA,0,NA,159677,267932,0,0,871740,0,0,0,877890,1996210,2874100
"Laurel Legal Services, Inc.",339026,2011,PA,PA-5,Basic Field,0,841600,0,NA,0,0,NA,0,0,0,254547,0,NA,NA,NA,0,0,NA,NA,NA,160910,0,22965,0,NA,0,NA,145422,268952,0,0,772624,0,0,0,841600,1625420,2467020
"Laurel Legal Services, Inc.",339026,2012,PA,PA-5,Basic Field,0,718223,0,NA,1023,0,NA,0,0,0,157729,NA,0,0,31090,NA,NA,130856,0,0,56500,0,25225,268466,20000,0,0,NA,NA,0,0,773076,0,0,0,719246,1462942,2182188
"Laurel Legal Services, Inc.",339026,2013,PA,PA-5,Basic Field,0,666676,41472,589,NA,0,0,NA,0,0,41561,NA,10101,0,506124,NA,NA,128183,17508,0,183804,0,34638,262966,382,0,85746,NA,NA,0,0,0,0,0,0,708737,1271013,1979750
"Laurel Legal Services, Inc.",339026,2014,PA,PA-5,Basic Field,0,619213,44614,173,NA,0,0,NA,0,0,41562,NA,10205,0,510824,NA,NA,122757,251833,5451,103208,3782,39016,0,40500,0,83044,NA,NA,0,0,307,0,0,0,664000,1212489,1876489
"Laurel Legal Services, Inc.",339026,2015,PA,PA-5,Basic Field,0,632369,30921,112,NA,0,0,NA,0,0,71639,NA,2375,0,497405,NA,NA,117498,241059,4807,62440,3292,40160,0,8234,0,80842,NA,NA,0,0,187,0,0,0,663402,1129938,1793340
"Laurel Legal Services, Inc.",339026,2016,PA,PA-5,Basic Field,0,589701,76194,107,NA,0,0,NA,0,0,27830,NA,11760,0,477775,NA,NA,117882,232555,5070,74534,795,31436,0,15025,0,82710,NA,NA,0,0,189,0,0,0,666002,1077561,1743563
"Laurel Legal Services, Inc.",339026,2017,PA,PA-5,Basic Field,0,591589,43899,53,NA,0,0,NA,0,0,66435,NA,11224,0,529208,NA,NA,117060,231490,4427,91702,2617,21416,0,1005,0,75988,NA,NA,0,0,96,0,0,0,635541,1152668,1788209
"Legal Action of Wisconsin, Inc.",550010,2008,WI,MWI,Migrant Worker,0,88216,0,NA,0,0,NA,0,0,0,2531,0,NA,NA,NA,NA,0,NA,NA,NA,14975,0,0,0,NA,0,NA,0,0,0,0,8001,0,0,0,88216,25507,113723
"Legal Action of Wisconsin, Inc.",550010,2009,WI,MWI,Migrant Worker,0,97083,2531,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,1537,0,0,0,NA,0,NA,0,0,0,0,9652,0,0,0,99614,11189,110803
"Legal Action of Wisconsin, Inc.",550010,2010,WI,MWI,Migrant Worker,0,104824,0,NA,0,0,NA,0,0,0,1650,0,NA,NA,NA,0,0,NA,NA,NA,3008,0,0,0,NA,0,NA,0,0,0,0,8205,0,0,0,104824,12863,117687
"Legal Action of Wisconsin, Inc.",550010,2011,WI,MWI,Migrant Worker,0,100491,1857,NA,0,0,NA,0,0,0,-110,0,NA,NA,NA,0,0,NA,NA,NA,3008,0,0,0,NA,0,NA,0,0,0,0,1914,0,0,0,102348,4812,107160
"Legal Action of Wisconsin, Inc.",550010,2012,WI,MWI,Migrant Worker,0,85760,0,NA,0,0,NA,0,0,0,-158,NA,0,0,0,NA,NA,0,0,0,15878,0,0,0,0,0,0,NA,NA,0,0,1658,0,0,0,85760,17378,103138
"Legal Action of Wisconsin, Inc.",550010,2013,WI,MWI,Migrant Worker,0,83991,0,0,NA,0,0,NA,0,0,-2367,NA,0,0,0,NA,NA,0,0,0,1129,0,0,0,0,0,0,NA,NA,0,0,2234,0,0,0,83991,996,84987
"Legal Action of Wisconsin, Inc.",550010,2014,WI,MWI,Migrant Worker,0,89174,0,0,NA,0,0,NA,0,0,996,NA,0,0,2161,NA,NA,0,0,0,1323,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,89174,4480,93654
"Legal Action of Wisconsin, Inc.",550010,2015,WI,MWI,Migrant Worker,0,91069,0,0,NA,0,0,NA,0,0,268,NA,50,0,2462,NA,NA,0,0,0,1337,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,91069,4117,95186
"Legal Action of Wisconsin, Inc.",550010,2016,WI,MWI,Migrant Worker,0,93419,735,0,NA,0,4000,NA,0,0,467,NA,0,0,3002,NA,NA,0,0,0,180,0,0,0,0,0,0,NA,NA,0,0,110,0,0,0,98154,3759,101913
"Legal Action of Wisconsin, Inc.",550010,2017,WI,MWI,Migrant Worker,0,212421,0,0,NA,0,0,NA,0,0,0,NA,0,78,447,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,212421,525,212946
"Legal Action of Wisconsin, Inc.",550010,2008,WI,WI-5,Basic Field,0,3105042,731212,NA,26356,25,NA,2819,0,2531,1068838,0,NA,NA,NA,NA,16500,NA,NA,NA,883008,0,196902,1394367,NA,42,NA,431038,0,146841,0,817436,0,0,0,3865454,4957503,8822957
"Legal Action of Wisconsin, Inc.",550010,2009,WI,WI-5,Basic Field,0,3417143,561950,NA,12018,25,NA,410,0,1000,1135506,0,NA,NA,NA,NA,5500,NA,NA,NA,65767,0,198221,1116031,NA,50,NA,880036,0,155751,15330,969433,0,0,0,3991546,4542625,8534171
"Legal Action of Wisconsin, Inc.",550010,2010,WI,WI-5,Basic Field,0,3689622,554524,NA,5143,25,NA,1030,2380,0,1088001,0,NA,NA,NA,0,0,NA,NA,NA,128651,0,193060,1796064,NA,0,NA,1524405,0,134227,269163,831914,0,0,0,4250344,5967865,10218209
"Legal Action of Wisconsin, Inc.",550010,2011,WI,WI-5,Basic Field,23070,3537100,515688,NA,3041,25,NA,385,78006,0,1304997,6000,NA,NA,NA,0,0,NA,NA,NA,128652,0,193060,1642581,NA,50,NA,1750989,0,128179,235507,976448,0,0,0,4079309,6444469,10523778
"Legal Action of Wisconsin, Inc.",550010,2012,WI,WI-5,Basic Field,53496,3018570,807095,NA,2562,0,NA,57585,37513,1500,1201068,NA,105048,16441,0,NA,NA,0,220698,419227,297642,0,217611,684677,25000,40,1517667,NA,NA,132092,0,555134,0,0,0,3939308,5431358,9370666
"Legal Action of Wisconsin, Inc.",550010,2013,WI,WI-5,Basic Field,14763,3149162,489748,2288,NA,0,0,NA,5007,0,1204890,NA,105933,67900,424166,NA,NA,0,100831,506415,275271,8250,198060,754489,0,0,1239120,NA,NA,148114,19885,30264,0,0,0,3655961,5088595,8744556
"Legal Action of Wisconsin, Inc.",550010,2014,WI,WI-5,Basic Field,17878,3805863,324387,4048,NA,25,0,NA,85826,0,1337437,NA,131316,67900,400639,NA,NA,0,163339,468873,275077,19000,198060,863658,10000,0,1316305,NA,NA,153390,141760,11961,0,0,0,4152201,5644541,9796742
"Legal Action of Wisconsin, Inc.",550010,2015,WI,WI-5,Basic Field,18096,3886718,457299,3113,NA,25,0,NA,12861,5000,1416687,NA,98581,69030,457294,NA,NA,0,113175,404664,277473,0,194810,942067,20250,25,1394985,NA,NA,173700,178747,5064,0,0,0,4365251,5764413,10129664
"Legal Action of Wisconsin, Inc.",550010,2016,WI,WI-5,Basic Field,9565,4003460,506672,1670,NA,0,22085,NA,54155,0,1455324,NA,93557,0,506748,NA,NA,0,110257,360941,33820,0,198059,1430951,29996,0,1397842,NA,NA,169818,172321,3110,0,0,0,4543452,6016899,10560351
"Legal Action of Wisconsin, Inc.",550010,2017,WI,WI-5,Basic Field,3816,3904788,294623,1154,NA,0,204579,NA,11060,0,1371446,NA,128781,119855,536253,NA,NA,0,287793,278005,0,0,198378,2682647,208310,0,1521982,NA,NA,171882,212896,7050,0,0,0,4408960,7736338,12145298
"Legal Advice & Referral Center, Inc.",130010,2008,NH,NH-1,Basic Field,0,694175,0,NA,166,0,NA,12500,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,60000,0,0,40000,NA,0,NA,0,0,0,0,72530,0,0,0,706841,172530,879371
"Legal Advice & Referral Center, Inc.",130010,2009,NH,NH-1,Basic Field,0,763949,0,NA,498,0,NA,6250,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,39500,0,0,43223,NA,0,NA,0,0,0,0,43691,0,0,0,770697,126414,897111
"Legal Advice & Referral Center, Inc.",130010,2010,NH,NH-1,Basic Field,0,824865,0,NA,454,0,NA,4600,0,0,0,0,NA,NA,NA,0,10000,NA,NA,NA,25000,32840,0,30000,NA,0,NA,0,0,0,0,23974,0,0,0,829919,121814,951733
"Legal Advice & Referral Center, Inc.",130010,2011,NH,NH-1,Basic Field,0,790767,0,NA,519,0,NA,50,0,0,12300,0,NA,NA,NA,0,35000,NA,NA,NA,28000,1.00E+05,0,35000,NA,0,NA,0,0,0,0,62177,0,0,0,791336,272477,1063813
"Legal Advice & Referral Center, Inc.",130010,2012,NH,NH-1,Basic Field,0,674842,0,NA,380,0,NA,0,0,0,8722,NA,0,0,0,NA,NA,0,0,0,5000,40000,0,38000,0,0,64002,NA,NA,0,0,40434,0,0,0,675222,196158,871380
"Legal Advice & Referral Center, Inc.",130010,2013,NH,NH-1,Basic Field,0,668428,0,160,NA,0,0,NA,0,0,0,NA,46950,0,0,NA,NA,0,0,0,30000,0,0,40000,0,0,787139,NA,NA,0,0,782,0,0,0,668588,904871,1573459
"Legal Advice & Referral Center, Inc.",130010,2014,NH,NH-1,Basic Field,0,727453,35906,461,NA,0,0,NA,0,0,0,NA,35699,0,0,NA,NA,0,0,0,37200,20000,0,30000,0,0,21500,NA,NA,0,0,687,0,0,0,763820,145086,908906
"Legal Advice & Referral Center, Inc.",130010,2015,NH,NH-1,Basic Field,0,742908,0,56,NA,0,0,NA,0,0,0,NA,32044,0,0,NA,NA,0,0,0,30000,48763,0,30000,0,0,491249,NA,NA,0,0,262,0,0,0,742964,632318,1375282
"Legal Advice & Referral Center, Inc.",130010,2016,NH,NH-1,Basic Field,0,794504,0,61,NA,0,750,NA,0,0,0,NA,48306,0,0,NA,NA,0,0,0,27250,38200,0,0,0,0,470000,NA,NA,0,0,333,0,0,0,795315,584089,1379404
"Legal Advice & Referral Center, Inc.",130010,2017,NH,NH-1,Basic Field,0,787447,0,26,NA,0,2100,NA,0,0,0,NA,83232,0,0,NA,NA,0,0,0,28500,33995,0,0,0,0,136,NA,NA,0,0,311,0,0,0,789573,146174,935747
"Legal Aid and Defender Association, Inc.",423148,2008,MI,MI-13,Basic Field,0,3707470,230624,NA,1236,0,NA,15000,0,0,0,115267,NA,NA,NA,NA,2928984,NA,NA,NA,403478,0,0,0,NA,0,NA,0,0,397961,0,464652,0,0,0,3954330,4310342,8264672
"Legal Aid and Defender Association, Inc.",423148,2009,MI,MI-13,Basic Field,0,4080124,0,NA,836,0,NA,0,0,0,0,82573,NA,NA,NA,NA,2688929,NA,NA,NA,403478,0,0,275000,NA,0,NA,0,0,154383,0,879550,0,0,0,4080960,4483913,8564873
"Legal Aid and Defender Association, Inc.",423148,2010,MI,MI-13,Basic Field,0,4405468,101418,NA,0,0,NA,5000,0,8969,105012,58198,NA,NA,NA,2666620,80000,NA,NA,NA,403478,87332,0,0,NA,0,NA,0,0,50376,0,664806,0,0,0,4511886,4124791,8636677
"Legal Aid and Defender Association, Inc.",423148,2011,MI,MI-13,Basic Field,0,4223354,0,NA,0,0,NA,696284,0,0,0,92635,NA,NA,NA,2569677,0,NA,NA,NA,403478,70557,0,0,NA,0,NA,0,0,26814,0,642787,0,0,0,4919638,3805948,8725586
"Legal Aid and Defender Association, Inc.",423148,2012,MI,MI-13,Basic Field,0,3604220,69750,NA,580,0,NA,20000,0,0,842045,NA,0,0,2520169,NA,NA,0,0,83930,215840,50996,0,0,0,0,0,NA,NA,33940,0,199757,0,0,0,3694550,3946677,7641227
"Legal Aid and Defender Association, Inc.",423148,2013,MI,MI-13,Basic Field,0,3683289,408829,644,NA,0,7500,NA,0,0,838040,NA,0,0,1643807,NA,NA,0,0,0,147509,116261,0,0,0,0,0,NA,NA,34501,0,119560,0,0,0,4100262,2899678,6999940
"Legal Aid and Defender Association, Inc.",423148,2014,MI,MI-13,Basic Field,0,2138965,385626,1371,NA,0,2122054,NA,0,0,420121,NA,0,0,3121746,NA,NA,0,0,130748,143017,148647,0,0,0,0,0,NA,NA,22002,0,391652,0,0,0,4648016,4377933,9025949
"Legal Aid and Defender Association, Inc.",423148,2015,MI,MI-13,Basic Field,0,364067,574714,704,NA,0,3173788,NA,0,0,1601133,NA,0,0,2319654,NA,NA,0,0,65719,143017,63290,0,0,0,0,0,NA,NA,30000,0,1483472,0,0,0,4113273,5706285,9819558
Legal Aid Foundation of Los Angeles,805080,2008,CA,CA-29,Basic Field,0,7902085,0,NA,23350,0,NA,103325,500,1004863,0,16698,NA,NA,NA,NA,408218,NA,NA,NA,898328,2189460,0,446349,NA,0,NA,0,0,1.00E+05,162211,1963490,0,0,0,8028760,7190117,15218877
Legal Aid Foundation of Los Angeles,805080,2009,CA,CA-29,Basic Field,0,8696359,0,NA,14625,0,NA,0,400,929095,0,102180,NA,NA,NA,NA,372650,NA,NA,NA,933286,2399518,0,616270,NA,0,NA,0,0,1.00E+05,170060,2361274,0,0,0,8710984,7984733,16695717
Legal Aid Foundation of Los Angeles,805080,2010,CA,CA-29,Basic Field,28345,9389794,0,NA,8554,0,NA,115093,0,0,0,0,NA,NA,NA,0,290520,NA,NA,NA,807647,2312840,0,3689274,NA,0,NA,931552,0,95000,0,2330817,0,0,0,9541786,10457650,19999436
Legal Aid Foundation of Los Angeles,805080,2011,CA,CA-29,Basic Field,89187,9001639,0,NA,2061,0,NA,68751,0,0,0,0,NA,NA,NA,0,300772,NA,NA,NA,634070,2377536,0,5864851,NA,0,NA,1230776,0,47500,37911,1774289,0,0,0,9161638,12267705,21429343
Legal Aid Foundation of Los Angeles,805080,2012,CA,CA-29,Basic Field,12916,7682019,0,NA,537,0,NA,94095,388782,0,0,NA,393251,118554,0,NA,NA,1507675,0,0,595799,2246798,0,2889214,329540,0,0,NA,NA,0,261766,1455532,0,0,0,7789567,10186911,17976478
Legal Aid Foundation of Los Angeles,805080,2013,CA,CA-29,Basic Field,0,6843280,0,72641,NA,0,0,NA,324494,0,0,NA,2802052,512055,0,NA,NA,2076275,331365,152545,492727,497534,0,498426,315115,0,582547,NA,NA,0,202771,187400,0,0,0,6915921,8975306,15891227
Legal Aid Foundation of Los Angeles,805080,2014,CA,CA-29,Basic Field,58334,5627177,0,49207,NA,0,1400,NA,387872,0,0,NA,3040585,265925,0,NA,NA,862800,313197,0,430677,1834845,0,557601,235601,0,628205,NA,NA,0,0,217588,0,0,0,5736118,8774896,14511014
Legal Aid Foundation of Los Angeles,805080,2015,CA,CA-29,Basic Field,2500,5746726,0,30081,NA,0,126498,NA,821894,0,0,NA,1761077,306249,0,NA,NA,652974,324430,0,402285,2237032,0,643871,150000,0,655008,NA,NA,0,96744,148096,0,0,0,5905805,8199660,14105465
Legal Aid Foundation of Los Angeles,805080,2016,CA,CA-29,Basic Field,114990,6063556,0,1074,NA,0,218838,NA,37445,0,0,NA,2447212,620372,0,NA,NA,531240,303775,0,399370,2304369,0,651292,301916,0,868962,NA,NA,0,259447,283478,0,0,0,6398458,9008878,15407336
Legal Aid Foundation of Los Angeles,805080,2017,CA,CA-29,Basic Field,90449,6155682,0,20547,NA,0,315070,NA,415475,0,0,NA,1689731,92316,0,NA,NA,932780,290785,0,428970,2308626,0,864083,357075,0,974281,NA,NA,0,223551,193996,0,0,0,6581748,8771669,15353417
"Legal Aid of Arkansas, Inc.",604020,2008,AR,AR-6,Basic Field,0,1449768,107540,NA,8505,0,NA,400,0,0,115464,0,NA,NA,NA,NA,22400,NA,NA,NA,221200,6400,15375,83751,NA,0,NA,363185,0,47029,0,65896,0,0,0,1566213,940700,2506913
"Legal Aid of Arkansas, Inc.",604020,2009,AR,AR-6,Basic Field,0,1595491,73605,NA,5026,0,NA,1000,0,0,276807,0,NA,NA,NA,NA,0,NA,NA,NA,162582,3900,10500,65879,NA,0,NA,484580,0,42579,0,106204,0,0,0,1675122,1153031,2828153
