org_name,recipient_id,demo_year,state,service_area__c,service_area_type__c,Groups,Men,Other_gender,Unknown_gender,Women,age_0_17,age_18_35,age_18_59,age_36_59,age_60_and_Over,Unknown_age,Asian,Black,Hispanic,Native_American,Other_ethnicity,Unknown_ethnicity,White,Non_Veteran,Unknown_veteran,Veteran,Asian_0_17,Asian_18_35,Asian_18_59,Asian_36_59,Asian_60 and Over,Asian_Unknown,Black_0_17,Black_18_35,Black_18_59,Black_36_59,Black_60 and Over,Black_Unknown,Hispanic_0_17,Hispanic_18_35,Hispanic_18_59,Hispanic_36_59,Hispanic_60 and Over,Hispanic_Unknown,Native American_0_17,Native American_18_35,Native American_18_59,Native American_36_59,Native American_60 and Over,Native American_Unknown,Other_0_17,Other_18_35,Other_18_59,Other_36_59,Other_60 and Over,Other_Unknown,Unknown_0_17,Unknown_18_35,Unknown_36_59,Unknown_60 and Over,Unknown_Unknown,White_0_17,White_18_35,White_18_59,White_36_59,White_60 and Over,White_Unknown
Legal Aid of Southeastern Pennsylvania,339141,2012,PA,PA-23,Basic Field,0,1411,NA,NA,4291,25,NA,5040,NA,637,NA,55,2045,252,10,99,NA,3241,5692,NA,74,0,NA,41,NA,14,NA,9,NA,1807,NA,229,NA,7,NA,230,NA,15,NA,0,NA,9,NA,1,NA,0,NA,71,NA,28,NA,NA,NA,NA,NA,NA,9,NA,2882,NA,350,NA
Legal Aid of Southeastern Pennsylvania,339141,2013,PA,PA-23,Basic Field,0,1107,NA,NA,3378,39,NA,3873,NA,573,NA,50,1653,198,5,82,NA,2497,4348,NA,137,0,NA,47,NA,3,NA,17,NA,1462,NA,174,NA,6,NA,180,NA,12,NA,NA,NA,5,NA,NA,NA,2,NA,56,NA,24,NA,NA,NA,NA,NA,NA,14,NA,2123,NA,360,NA
Legal Aid of Southeastern Pennsylvania,339141,2014,PA,PA-23,Basic Field,0,1159,NA,NA,3357,39,1906,NA,2001,570,NA,44,1669,195,3,88,NA,2517,4343,NA,173,0,11,NA,26,7,NA,25,707,NA,761,176,NA,2,96,NA,81,16,NA,0,2,NA,1,0,NA,0,37,NA,29,22,NA,NA,NA,NA,NA,NA,12,1053,NA,1103,349,NA
Legal Aid of Southeastern Pennsylvania,339141,2015,PA,PA-23,Basic Field,0,814,6,NA,2558,34,1375,NA,1424,545,NA,30,1274,152,2,91,NA,1829,3260,NA,118,0,8,NA,18,4,NA,23,519,NA,554,178,NA,6,81,NA,48,17,NA,0,0,NA,1,1,NA,0,45,NA,36,10,NA,NA,NA,NA,NA,NA,5,722,NA,767,335,NA
Legal Aid of Southeastern Pennsylvania,339141,2016,PA,PA-23,Basic Field,0,1118,6,NA,3373,50,1959,NA,1875,613,NA,70,1613,218,6,104,NA,2486,4401,NA,96,0,29,NA,27,14,NA,22,754,NA,625,212,NA,12,98,NA,94,14,NA,0,1,NA,5,0,NA,3,40,NA,45,16,NA,NA,NA,NA,NA,NA,13,1037,NA,1079,357,NA
Legal Aid of Southeastern Pennsylvania,339141,2017,PA,PA-23,Basic Field,NA,1076,8,0,3590,62,1926,NA,2041,645,0,64,1671,247,6,149,16,2521,4474,0,200,1,17,NA,37,9,0,29,667,NA,764,211,0,9,134,NA,91,13,0,0,2,NA,2,2,0,0,79,NA,54,16,0,1,3,12,0,0,22,1024,NA,1081,394,0
Legal Aid of the Bluegrass,618004,2008,KY,KY-10,Basic Field,1,408,NA,NA,1950,16,NA,1879,NA,464,NA,8,282,52,8,44,NA,1965,NA,NA,NA,0,NA,8,NA,0,NA,3,NA,238,NA,41,NA,1,NA,50,NA,1,NA,1,NA,7,NA,0,NA,1,NA,37,NA,6,NA,NA,NA,NA,NA,NA,10,NA,1539,NA,416,NA
Legal Aid of the Bluegrass,618004,2009,KY,KY-10,Basic Field,0,480,NA,NA,1751,34,NA,1782,NA,415,NA,7,291,45,5,34,NA,1849,NA,NA,NA,0,NA,7,NA,0,NA,5,NA,239,NA,47,NA,5,NA,38,NA,2,NA,0,NA,5,NA,0,NA,0,NA,25,NA,9,NA,NA,NA,NA,NA,NA,24,NA,1468,NA,357,NA
Legal Aid of the Bluegrass,618004,2010,KY,KY-10,Basic Field,1,556,NA,NA,2315,11,NA,2411,NA,450,NA,22,324,89,14,52,NA,2371,NA,NA,NA,0,NA,20,NA,2,NA,2,NA,287,NA,35,NA,0,NA,86,NA,3,NA,0,NA,11,NA,3,NA,0,NA,49,NA,3,NA,NA,NA,NA,NA,NA,9,NA,1958,NA,404,NA
Legal Aid of the Bluegrass,618004,2011,KY,KY-10,Basic Field,0,566,NA,NA,2265,31,NA,2335,NA,465,NA,18,376,81,18,76,NA,2262,NA,NA,NA,0,NA,16,NA,2,NA,4,NA,316,NA,56,NA,2,NA,78,NA,1,NA,0,NA,14,NA,4,NA,6,NA,57,NA,13,NA,NA,NA,NA,NA,NA,19,NA,1854,NA,389,NA
